symbol,name,currency,sector,sectorcode,ISIN,trailingPE,EPS,analist_estimate,Price_book,TangibleValuePerShare,enterpriseToEbitda,totalDebt,currentRatio,growthrate,growthrate_quarter,beta,priceToSalesTrailing12Months,extrainfo,value_score,risc_score,growth_score
CRED-A.ST,"Creades A",SEK,Financials,3020,SE0015661236,1.8850176,41.989,0.0,1.0722898,0.0,-2.692,0.000542803448507386,4.717,1.12724434035909,-0.383561643835616,1.120239,-3.014183,FINANCE,65.0,20.0,40.0
ELISA.HE,"Elisa Oyj",EUR,Telecommunications,1510,FI0009007884,24.41546,2.07,0.613133070445105,6.426755,0.14098578961203,12.74,0.177337737545511,0.935,0.032964782964783,1.19662921348315,0.09756,3.8507664,"",57.0,50.0,50.0
ELUX-A.ST,"Electrolux A",SEK,"Consumer Services",4020,SE0016589170,9.460979,19.554,0.0,2.6979337,0.0930316951067638,6.333,20.0400822558537,0.921,0.0307089717052216,0.341880341880342,1.16089,0.3521721,"",51.0,70.0,50.0
ELUX-B.ST,"Electrolux B",SEK,"Consumer Services",4020,SE0016589188,7.618901,19.554,10.5572673659885,2.1726387,0.00344302450382482,5.663,0.741666527589184,0.921,0.0307089717052216,0.341880341880342,1.16089,0.32367715,"",58.0,40.0,50.0
ERIC-B.ST,"Ericsson B",SEK,Telecommunications,1510,SE0000108656,11.941801,5.567,23.8237743126666,2.4643216,0.165840821052532,5.233,0.207422367609751,1.166,0.0704403380794733,0.591524304695882,0.27685,0.8625595,"BIG CAP",53.0,30.0,70.0
FORTUM.HE,"Fortum Oyj",EUR,Utilities,6510,FI0009007132,7.563415,2.05,6.52386495925495,1.0632973,0.723444487576995,7.934,1.07013734784219,0.899,7.07214513407088,2.21153846153846,0.816431,0.088493235,"",58.0,30.0,80.0
HUH1V.HE,"Huhtamäki Oyj",EUR,Industrials,5020,FI0009000459,20.664597,1.61,59.2809936802089,2.530038,0.11471035613476,9.19,0.540806174763719,1.489,0.0777242557030545,1.72704402515723,0.588789,0.79366916,"",51.0,40.0,80.0
INDU-A.ST,"Industrivärden A",SEK,Financials,3020,SE0000190126,2.4550564,103.908,-4.43217254830477,0.7974292,0.0,-6.704,0.122262364399932,0.65,-2.7523199023199,-0.389597209007295,0.868635,-6.4327984,FINANCE,74.0,40.0,0.0
INDU-C.ST,"Industrivärden C",SEK,Financials,3020,SE0000107203,2.4473574,103.908,6.19112490754604,0.79492843,0.0,-6.669,0.186939109774629,0.65,-2.7523199023199,-0.389597209007295,0.868635,-6.5177493,FINANCE,68.0,40.0,0.0
INTRUM.ST,Intrum,SEK,Financials,3020,SE0000936478,5.4954667,21.727,44.4711906738244,0.6977356,-1.11716142572844,9.315,3.98712855873252,0.907,0.191489361702128,1.0743374272786,1.47454,0.77874637,FINANCE,51.0,70.0,90.0
INVE-A.ST,"Investor A",SEK,Financials,3020,SE0015811955,0.80999875,244.63,0.0,0.27477098,2.65165343848453,-18.152,0.371822232917557,2.5,2.32271413395262,0.126398088826148,0.82884,101.6714,FINANCE,62.0,0.0,80.0
INVE-B.ST,"Investor B",SEK,Financials,3020,SE0015811963,0.78420466,244.63,2.55039528388733,0.266021,1.8799254672139,-17.575,0.263608386674219,2.5,2.32271413395262,0.126398088826148,0.82884,101.351204,FINANCE,58.0,0.0,80.0
JM.ST,JM,SEK,"Real Estate",3510,SE0000806994,8.083598,21.723,20.976318698094,1.6858194,0.748056582246283,8.222,0.706000179571273,1.95,0.010179697954502,0.971563981042654,1.149336,0.77381337,"",55.0,10.0,60.0
KINV-A.ST,"Kinnevik A",SEK,Financials,3020,SE0015810239,0.7661241,197.096,0.0,0.35620683,0.0,0.0,0.688827744686187,0.0,-2.22356546589456,0.886891592920354,1.185708,-2.2072608,FINANCE,69.0,40.0,40.0
KINV-B.ST,"Kinnevik B",SEK,Financials,3020,SE0015810247,0.7623189,197.096,5.0169915811269,0.3544376,0.0,0.0,0.0964994214088841,0.0,-2.22356546589456,0.886891592920354,1.185708,-2.371442,FINANCE,63.0,30.0,40.0
LUND-B.ST,"Lundbergföretagen B",SEK,Financials,3020,SE0000108847,30.531769,14.48,3.23741678885726,1.2860792,0.0452386337932594,27.799,0.32196811485851,1.432,0.296064673581452,4.21134020618557,0.67608,4.2810044,FINANCE,51.0,30.0,80.0
NOLA-B.ST,"Nolato B",SEK,Industrials,5020,SE0015962477,1.8683863,30.24,20.8846449776121,0.40850264,0.0988233437385911,10.095,0.149918672575285,1.568,0.141384843248581,0.761329305135952,1.192126,1.2722394,"",59.0,10.0,90.0
NP3-PREF.ST,"NP3 Fastigheter Pref",SEK,"Real Estate",3510,SE0010820514,2.1857924,10.98,0.0,0.28185225,0.0,12.58,9.28279156675359,0.249,0.24020190023753,1.52511415525114,1.596491,2.0151625,"",51.0,70.0,80.0
OSSR.CO,"Össur",DKK,"Health Care",2010,IS0000000040,209.74025,0.154,4.07281865975014,23.559444,-0.00596913539834928,159.893,0.032943647337588,0.933,0.0798726006565765,0.514245472837022,0.685922,19.066559,"",51.0,60.0,60.0
PEAB-B.ST,"Peab B",SEK,Industrials,5010,SE0000106205,5.5488596,10.786,38.1778349659351,1.4188516,0.152697358169175,7.385,1.18568024210624,1.182,0.0879664196963605,0.75609756097561,1.062901,0.28664383,"",56.0,40.0,70.0
SAGA-D.ST,"Sagax D",SEK,"Real Estate",3510,SE0009161052,3.095351,8.432,0.0,0.5150672,0.0,16.356,9.51443959315437,0.234,0.204494882064976,1.11145996860283,1.050492,23.161608,"",51.0,60.0,80.0
SCHO.CO,"Schouw & Co.",DKK,Industrials,5020,DK0010253921,13.605263,38.0,17.5275938189846,1.290577,0.411299297546132,8.653,0.402426411929225,1.569,0.159960006574262,0.877862595419847,0.926401,0.4509584,"",53.0,10.0,80.0
SECU-B.ST,"Securitas B",SEK,Industrials,5020,SE0000163594,12.744003,6.629,66.2823214829,1.7420713,-0.209214103922172,7.141,0.779609261516879,1.233,0.0545793213557117,1.10124101894187,0.873769,0.26920736,"",54.0,30.0,80.0
SINCH.ST,Sinch,SEK,Technology,1010,SE0016101844,4.778379,7.761,37.1750664827767,0.24276166,-0.468876105878373,23.61,0.421017439616931,0.829,1.08628823280081,-0.834710743801653,1.683354,1.2720147,"",51.0,40.0,50.0
SKA-B.ST,"Skanska B",SEK,Industrials,5010,SE0000113250,6.972875,23.742,47.5414563337956,1.7769549,0.631850558632158,8.35,0.242851411209531,1.478,-0.0555159261631631,1.71405750798722,1.249465,0.44731504,"",59.0,20.0,50.0
TEL2-B.ST,"Tele2 B",SEK,Telecommunications,1510,SE0005190238,9.117905,10.237,35.2026249737815,1.8974628,-0.222978992561388,9.163,0.514455829697476,0.706,0.174753157290471,1.22127659574468,0.298673,2.4041533,"",53.0,30.0,90.0
TYRES.HE,"Nokian Renkaat Oyj",EUR,"Consumer Services",4010,FI0009005318,16.266129,0.62,-0.542399570833519,0.91623515,0.293833013206474,4.476,0.331853398216101,2.441,-0.0271841313612434,0.875560538116592,0.941805,0.75159806,"",56.0,30.0,40.0
ALMA.HE,"Alma Media Oyj",EUR,"Consumer Services",4030,FI0009013114,9.361278,1.002,25.8455107225657,6.2160373,0.259359077346474,8.499,0.249244073329961,0.784,-0.00814683941892422,0.98469387755102,1.111253,2.5028617,"",52.0,50.0,50.0
ATRAV.HE,"Atria Oyj A",EUR,"Consumer Goods",4510,FI0009006548,9.829968,0.941,38.9878837284657,0.6058026,0.590356111239959,6.297,1.45993470752584,1.128,0.0312772635479195,0.296047221359259,0.720154,0.15804207,"SMALL CAP",54.0,40.0,60.0
BALCO.ST,"Balco Group",SEK,Industrials,5010,SE0010323998,12.934473,3.51,35.9380192763203,1.6616038,0.172645088599251,9.12,0.210016823262408,1.486,0.0867008426807,1.1,0.822849,0.82478964,"",52.0,10.0,70.0
BESQ.ST,Besqab,SEK,"Consumer Services",4020,SE0005991411,4.101698,20.138,46.3857247051622,0.835187,0.0,54.173,3.47538073740424,1.255,-0.047874011065998,-2.01754385964912,0.62516,0.77885854,"",60.0,80.0,10.0
BIOG-B.ST,"BioGaia B",SEK,"Health Care",2010,SE0017769995,8.504868,10.066,37.7532442551222,0.99013454,0.09873613721813,21.459,0.0,9.969,0.0252483588768922,1.25001589420815,0.659392,1.6692032,"",54.0,10.0,60.0
CLAS-B.ST,"Clas Ohlson B",SEK,"Consumer Services",4040,SE0000584948,10.536565,6.933,35.6628988606817,2.0919247,0.183216508979779,8.604,0.406722592602786,1.237,-0.0139786601005438,-0.0897936419408812,1.162173,0.5275845,"",56.0,50.0,10.0
EAST.ST,Eastnine,SEK,"Real Estate",3510,SE0002158568,64.70588,1.7,15.6540420816653,7.8610735,0.00438789357466748,144.912,0.143159333236188,1.294,1.19783109958207,1.27632805219012,0.970902,94.6307,"",51.0,60.0,80.0
FNM.ST,Ferronordic,SEK,Industrials,5020,SE0005468717,3.3628318,15.255,376.591019895644,0.92449087,0.657266309768378,1.641,1.83900439338263,1.372,0.375655880611603,0.986486486486487,1.518185,0.10976327,"",60.0,30.0,100.0
HEBA-B.ST,"HEBA B",SEK,"Real Estate",3510,SE0017911480,8.012345,4.05,64.8950660899158,0.7226528,0.0,39.175,1.53584189731761,0.177,0.0586841351472803,1.23008267299826,0.80611,10.875153,"",56.0,40.0,80.0
HH.CO,"H+H International",DKK,Industrials,5010,DK0015202451,5.0144367,20.78,153.348118422625,1.0424274,0.188131409449575,3.496,0.52512692481875,2.074,0.0936385255648038,1.27906976744186,1.34665,0.48404372,"",51.0,30.0,80.0
KAMUX.HE,"Kamux Oyj",EUR,"Consumer Services",4040,FI4000206750,8.896552,0.58,74.8136310494419,2.1553884,0.643716618106779,8.653,0.42558975203144,2.056,0.348901098901099,0.464646464646465,1.527599,0.2098911,"SMALL CAP",51.0,30.0,100.0
LAT1V.HE,"Lassila & Tikanoja Oyj",EUR,Utilities,6510,FI0009010854,18.699472,0.569,2.31614707757746,2.2681732,0.0145493283882057,8.879,0.579013950093338,0.927,-0.0180441286462229,0.554945054945055,0.822849,0.47635034,"",51.0,60.0,40.0
