nasdaq_nordic_mid.csv:RTX;RTX;DKK;DK0010267129;RTX.CO;Telecommunications;1510;
nasdaq_nordic_mid.csv:Solar B;SOLAR B;DKK;DK0010274844;SOLAR-B.CO;Industrials;5020;
nasdaq_nordic_mid.csv:SP Group;SPG;DKK;DK0061027356;SPG.CO;Industrials;5020;
nasdaq_nordic_mid.csv:Sparekassen Sjælland-Fyn;SPKSJF;DKK;DK0060670776;SPKSJF.CO;Financials;3010;
nasdaq_nordic_mid.csv:TCM Group;TCM;DKK;DK0060915478;TCM.CO;Consumer Services;4020;
nasdaq_nordic_mid.csv:Tivoli A/S;TIV;DKK;DK0060726743;TIV.CO;Consumer Services;4050;
nasdaq_nordic_mid.csv:Trifork Holding;TRIFOR;DKK;CH1111227810;TRIFOR.CO;Technology;1010;
nasdaq_nordic_mid.csv:TORM A;TRMD A;DKK;GB00BZ3CNK81;TRMD-A.CO;Industrials;5020;
nasdaq_nordic_mid.csv:UIE Plc;UIE;DKK;MT0002400118;UIE.CO;Consumer Goods;4510;
nasdaq_nordic_mid.csv:Vestjysk Bank;VJBA;DKK;DK0010304500;VJBA.CO;Financials;3010;
nasdaq_nordic_small.csv:Agat Ejendomme;AGAT;DKK;DK0010258995;AGAT.CO;Real Estate;3510;
nasdaq_nordic_small.csv:AGF B;AGF B;DKK;DK0010263722;AGF-B.CO;Consumer Services;4050;
nasdaq_nordic_small.csv:Atlantic Petroleum;ATLA DKK;DKK;FO000A0DN9X4;ATLA-DKK.CO;Energy;6010;
nasdaq_nordic_small.csv:Brøndby IF;BIF;DKK;DK0010247956;BIF.CO;Consumer Services;4050;
nasdaq_nordic_small.csv:BioPorto;BIOPOR;DKK;DK0011048619;BIOPOR.CO;Health Care;2010;
nasdaq_nordic_small.csv:Blue Vision A;BLVIS A;DKK;DK0061155009;BLVIS-A.CO;Real Estate;3510;
nasdaq_nordic_small.csv:Cemat;CEMAT;DKK;DK0010271584;CEMAT.CO;Technology;1010;
nasdaq_nordic_small.csv:Copenhagen Capital Præf;CPHCAP PREF;DKK;DK0060732980;CPHCAP-PREF.CO;Real Estate;3510;
nasdaq_nordic_small.csv:Copenhagen Capital Stam;CPHCAP ST;DKK;DK0060093607;CPHCAP-ST.CO;Real Estate;3510;
nasdaq_nordic_small.csv:Dantax;DANT;DKK;DK0015205637;DANT.CO;Consumer Services;4020;
nasdaq_nordic_small.csv:Djurslands Bank;DJUR;DKK;DK0060136273;DJUR.CO;Financials;3010;
nasdaq_nordic_small.csv:EAC Invest;EAC;DKK;DK0061277894;EAC.CO;Industrials;5020;
nasdaq_nordic_small.csv:Ennogie Solar Group;ESG;DKK;DK0010305077;ESG.CO;Financials;3020;
nasdaq_nordic_small.csv:Fast Ejendom Danmark;FED;DKK;DK0060522746;FED.CO;Real Estate;3510;
nasdaq_nordic_small.csv:FirstFarms;FFARMS;DKK;DK0060056166;FFARMS.CO;Consumer Goods;4510;
nasdaq_nordic_small.csv:Fynske Bank;FYNBK;DKK;DK0060520377;FYNBK.CO;Financials;3010;
nasdaq_nordic_small.csv:German High Street Properties;GERHSP;DKK;DK0060093524;GERHSP.CO;Real Estate;3510;
nasdaq_nordic_small.csv:Glunz & Jensen Holding;GJ;DKK;DK0010249309;GJ.CO;Industrials;5020;
nasdaq_nordic_small.csv:GreenMobility;GREENM;DKK;DK0060817898;GREENM.CO;Industrials;5020;
nasdaq_nordic_small.csv:Grønlandsbanken;GRLA;DKK;DK0010230630;GRLA.CO;Financials;3010;
nasdaq_nordic_small.csv:Harboes Bryggeri B;HARB B;DKK;DK0060014751;HARB-B.CO;Consumer Goods;4510;
nasdaq_nordic_small.csv:Hvidbjerg Bank;HVID;DKK;DK0060135978;HVID.CO;Financials;3010;
nasdaq_nordic_small.csv:InterMail;IMAIL;DKK;DK0010212224;IMAIL.CO;Industrials;5020;
nasdaq_nordic_small.csv:Brd. Klee B;KLEE B;DKK;DK0010129089;KLEE-B.CO;Industrials;5020;
nasdaq_nordic_small.csv:Kreditbanken;KRE;DKK;DK0010253764;KRE.CO;Financials;3010;
nasdaq_nordic_small.csv:Lollands Bank;LOLB;DKK;DK0060000107;LOLB.CO;Financials;3010;
nasdaq_nordic_small.csv:Luxor B;LUXOR B;DKK;DK0010213628;LUXOR-B.CO;Financials;3020;
